state_postal_abbr,data_year,officer_count,officer_rate_per_1000,civilian_count,civilian_rate_per_1000,population
WY,1971,60,0.17,21,0.06,348812
WV,1971,107,0.06,15,0.01,1758559
WI,1971,3967,0.89,434,0.10,4480975
WA,1971,542,0.16,98,0.03,3470293
VT,1971,55,0.12,16,0.03,458000
VA,1971,704,0.15,137,0.03,4738076
UT,1971,135,0.12,20,0.02,1155162
TX,1971,6051,0.52,1360,0.12,11726323
TN,1971,2142,0.53,405,0.10,4029618
SD,1971,120,0.18,19,0.03,680820
SC,1971,731,0.27,117,0.04,2683742
RI,1971,1136,1.18,124,0.13,960000
PR,1971,,,,,2689932
PA,1971,13745,1.14,1572,0.13,12046710
OR,1971,1038,0.48,245,0.11,2163825
OK,1971,885,0.33,122,0.05,2668490
OH,1971,5217,0.48,531,0.05,10865398
NY,1971,34007,1.75,2698,0.14,19427177
NV,1971,365,0.71,93,0.18,510933
NM,1971,114,0.11,32,0.03,1085624
NJ,1971,4600,0.63,552,0.08,7334832
NH,1971,97,0.13,10,0.01,762000
NE,1971,617,0.41,138,0.09,1512000
ND,1971,97,0.16,10,0.02,625000
NC,1971,556,0.11,37,0.01,5156978
MT,1971,36,0.05,15,0.02,714117
MS,1971,230,0.10,28,0.01,2228996
MO,1971,3708,0.77,1025,0.21,4828227
MN,1971,893,0.23,147,0.04,3887124
MI,1971,6801,0.76,803,0.09,8997000
ME,1971,50,0.05,2,0.00,1025347
MD,1971,634,0.15,77,0.02,4104849
MA,1971,3493,0.60,418,0.07,5779426
LA,1971,2379,0.61,503,0.13,3927464
KY,1971,1309,0.40,258,0.08,3282000
KS,1971,481,0.21,63,0.03,2275350
IN,1971,3023,0.57,485,0.09,5291410
IL,1971,1590,0.14,308,0.03,11216864
ID,1971,191,0.26,9,0.01,736293
IA,1971,889,0.31,229,0.08,2864773
HI,1971,1472,1.86,307,0.39,791801
GU,1971,,,,,86926
GA,1971,1306,0.27,129,0.03,4752514
FL,1971,6245,0.89,2048,0.29,7052218
DE,1971,269,0.48,41,0.07,558000
DC,1971,,,,,741000
CZ,1971,,,,,44650
CT,1971,2345,0.73,264,0.08,3206529
CO,1971,685,0.30,114,0.05,2305187
CA,1971,16930,0.83,5013,0.25,20461218
AZ,1971,1519,0.82,391,0.21,1862947
AR,1971,504,0.25,70,0.04,1982508
AL,1971,1062,0.30,208,0.06,3581147
AK,1971,230,0.73,83,0.27,313000
WY,1972,546,1.54,152,0.43,354027
WV,1972,2039,1.14,456,0.26,1781000
WI,1972,8256,1.82,1184,0.26,4525092
WA,1972,5391,1.55,1572,0.45,3467832
VT,1972,585,1.27,196,0.42,462000
VA,1972,6647,1.39,1324,0.28,4788230
UT,1972,1573,1.33,330,0.28,1183443
TX,1972,16843,1.41,4580,0.38,11905714
TN,1972,5457,1.34,1042,0.26,4071106
SD,1972,728,1.06,142,0.21,689693
