year,state_name,total_agencies,participating_agencies,participation_pct,nibrs_participating_agencies,nibrs_participation_pct,covered_agencies,covered_pct,total_population,nibrs_participating_population
2015,Alabama,475,308,64.84,52,10.95,59,12.42,4883134,4369347
2015,Alaska,48,40,83.33,8,16.67,8,16.67,743350,739738
2015,Arizona,137,117,85.40,11,8.03,13,9.49,6848298,6771412
2015,Arkansas,319,281,88.09,19,5.96,23,7.21,2997795,2762918
2015,California,894,888,99.33,152,17.00,152,17.00,39314808,39153154
2015,Canal Zone,1,0,0.00,0,0.00,0,0.00,0,0
2015,Colorado,304,250,82.24,51,16.78,58,19.08,5505856,5380503
2015,Connecticut,122,122,100.00,18,14.75,18,14.75,3682921,3682921
2015,Delaware,76,76,100.00,16,21.05,16,21.05,962461,962461
2015,District of Columbia,5,3,60.00,0,0.00,0,0.00,672228,672228
2015,Florida,1204,1182,98.17,509,42.28,513,42.61,20388277,20339621
2015,Georgia,801,598,74.66,103,12.86,141,17.60,10475611,9990129
2015,Guam,1,0,0.00,0,0.00,0,0.00,0,0
2015,Hawaii,14,14,100.00,10,71.43,10,71.43,1556738,1556738
2015,Idaho,146,140,95.89,33,22.60,33,22.60,1712771,1705736
2015,Illinois,1056,872,82.58,135,12.78,138,13.07,12920809,12403054
2015,Indiana,378,272,71.96,3,0.79,7,1.85,6630731,5313435
2015,Iowa,263,220,83.65,17,6.46,18,6.84,3153349,2931253
2015,Kansas,445,291,65.39,51,11.46,55,12.36,3008206,2673873
2015,Kentucky,645,597,92.56,207,32.09,206,31.94,4463784,4437337
2015,Louisiana,291,264,90.72,65,22.34,66,22.68,4806495,4717339
2015,Maine,223,222,99.55,38,17.04,38,17.04,1375892,1375892
2015,Maryland,192,174,90.63,30,15.63,36,18.75,6202009,4806616
2015,Massachusetts,494,382,77.33,45,9.11,82,16.60,6805699,6532798
2015,Michigan,838,786,93.79,176,21.00,177,21.12,10318255,10175251
2015,Minnesota,435,432,99.31,47,10.80,47,10.80,5717579,5714270
2015,Mississippi,237,77,32.49,0,0.00,2,0.84,2993652,1512780
2015,Missouri,718,671,93.45,76,10.58,81,11.28,6137277,6074487
2015,Montana,137,121,88.32,20,14.60,23,16.79,1099717,1067891
2015,Nebraska,331,270,81.57,53,16.01,67,20.24,1969182,1859966
2015,Nevada,64,53,82.81,4,6.25,5,7.81,2897487,2897487
2015,New Hampshire,255,226,88.63,58,22.75,58,22.75,1373366,1315428
2015,New Jersey,642,611,95.17,47,7.32,64,9.97,9014923,8717335
2015,New Mexico,145,117,80.69,14,9.66,17,11.72,2090676,1925495
2015,New York,1125,1094,97.24,531,47.20,534,47.47,21755244,21670971
2015,North Carolina,810,463,57.16,155,19.14,276,34.07,10074032,8482902
2015,North Dakota,138,133,96.38,25,18.12,25,18.12,781773,777871
2015,Ohio,906,518,57.17,49,5.41,55,6.07,11717241,9927798
2015,Oklahoma,436,389,89.22,71,16.28,78,17.89,3968524,3764289
2015,Oregon,296,218,73.65,44,14.86,47,15.88,4094023,2189807
2015,Pennsylvania,1842,1771,96.15,292,15.85,298,16.18,13513390,13415314
2015,Puerto Rico,1,0,0.00,0,0.00,0,0.00,0,0
2015,Rhode Island,62,62,100.00,13,20.97,13,20.97,1062954,1062954
